obs_id,recorded_time,modified_time,object,event,rising,sidereal,pole
230,1813-04-13 04:53:06.000,,t_b,in,FALSE,TRUE,N
230,1813-04-13 04:54:31.000,,t_b,out,FALSE,TRUE,N
230,1813-04-13 04:56:09.500,,S,out,FALSE,TRUE,N
231,1813-04-14 03:40:30.000,,S,in,FALSE,TRUE,N
231,1813-04-14 03:40:57.000,,t_b,in,FALSE,TRUE,N
231,1813-04-14 03:42:17.000,,t_b,out,FALSE,TRUE,N
231,1813-04-14 03:44:08.000,,S,out,FALSE,TRUE,N
232,1813-04-14 03:49:27.000,,S,in,FALSE,TRUE,N
232,1813-04-14 03:49:54.500,,t_b,in,FALSE,TRUE,N
232,1813-04-14 03:51:15.000,,t_b,out,FALSE,TRUE,N
232,1813-04-14 03:53:05.500,,S,out,FALSE,TRUE,N
233,1813-04-14 04:04:16.500,,S,in,FALSE,TRUE,N
233,1813-04-14 04:04:44.000,,t_b,in,FALSE,TRUE,N
233,1813-04-14 04:05:03.500,,t_b,out,FALSE,TRUE,N
233,1813-04-14 04:06:55.250,,S,out,FALSE,TRUE,N
234,1813-06-23 09:27:35.000,,S,in,TRUE,TRUE,N
234,1813-06-23 09:29:05.000,,t_1,in,TRUE,TRUE,N
234,1813-06-23 09:29:11.000,,t_2,in,TRUE,TRUE,N
234,1813-06-23 09:30:55.500,,t_1,out,TRUE,TRUE,N
234,1813-06-23 09:31:05.000,,t_2,out,TRUE,TRUE,N
234,1813-06-23 09:31:32.000,,S,out,TRUE,TRUE,N
235,1813-06-23 09:45:16.000,,S,in,TRUE,TRUE,N
235,1813-06-23 09:46:46.000,,t_1,in,TRUE,TRUE,N
235,1813-06-23 09:46:52.000,,t_2,in,TRUE,TRUE,N
235,1813-06-23 09:48:38.000,,t_1,out,TRUE,TRUE,N
235,1813-06-23 09:48:46.500,,t_2,out,TRUE,TRUE,N
235,1813-06-23 09:49:15.000,,S,out,TRUE,TRUE,N
236,1813-06-24 09:57:50.000,,S,in,TRUE,TRUE,N
236,1813-06-24 09:58:09.500,1813-06-24 09:59:09.500,t_1,in,TRUE,TRUE,N
236,1813-06-24 09:59:58.000,,t_1,out,TRUE,TRUE,N
236,1813-06-24 10:02:48.500,1813-06-24 10:00:48.500,S,out,TRUE,TRUE,N
237,1813-06-24 10:12:10.000,,S,in,TRUE,TRUE,N
237,1813-06-24 10:13:26.500,,t_1,in,TRUE,TRUE,N
237,1813-06-24 10:15:17.500,,t_1,out,TRUE,TRUE,N
237,1813-06-24 10:16:07.500,,S,out,TRUE,TRUE,N
238,1813-06-28 10:56:20.000,,S,in,TRUE,TRUE,N
238,1813-06-28 10:56:46.000,,t_1,in,TRUE,TRUE,N
238,1813-06-28 10:58:32.000,,t_1,out,TRUE,TRUE,N
238,1813-06-28 11:00:17.500,,S,out,TRUE,TRUE,N
239,1813-06-28 11:10:39.000,,S,in,TRUE,TRUE,N
239,1813-06-28 11:11:06.000,,t_1,in,TRUE,TRUE,N
239,1813-06-28 11:12:49.500,,t_1,out,TRUE,TRUE,N
239,1813-06-28 11:14:35.500,,S,out,TRUE,TRUE,N
240,1813-07-26 11:31:13.500,,S,in,TRUE,TRUE,N
240,1813-07-26 11:33:26.000,,t,in,TRUE,TRUE,N
240,1813-07-26 11:34:50.000,,t,out,TRUE,TRUE,N
240,1813-07-26 11:35:03.000,,S,out,TRUE,TRUE,N
241,1813-07-26 11:41:11.000,,S,in,TRUE,TRUE,N
241,1813-07-26 11:43:25.000,,t,in,TRUE,TRUE,N
241,1813-07-26 11:44:51.000,,t,out,TRUE,TRUE,N
241,1813-07-26 11:45:03.500,,S,out,TRUE,TRUE,N
242,1813-07-26 11:55:08.500,,S,in,TRUE,TRUE,N
242,1813-07-26 11:57:21.500,,t,in,TRUE,TRUE,N
242,1813-07-26 11:58:47.000,,t,out,TRUE,TRUE,N
242,1813-07-26 11:59:00.500,,S,out,TRUE,TRUE,N
243,1813-07-27 11:01:07.000,,S,in,TRUE,TRUE,N
243,1813-07-27 11:03:11.000,,t_A,in,TRUE,TRUE,N
243,1813-07-27 11:04:35.000,,t_A,out,TRUE,TRUE,N
243,1813-07-27 11:04:37.000,1813-07-27 11:04:57.000,S,out,TRUE,TRUE,N
244,1813-07-27 11:10:23.500,,S,in,TRUE,TRUE,N
244,1813-07-27 11:12:29.000,,t_A,in,TRUE,TRUE,N
244,1813-07-27 11:13:52.000,,t_A,out,TRUE,TRUE,N
244,1813-07-27 11:14:14.500,,S,out,TRUE,TRUE,N
245,1813-07-27 11:24:21.000,,S,in,TRUE,TRUE,N
245,1813-07-27 11:26:25.500,,t_A,in,TRUE,TRUE,N
245,1813-07-27 11:27:51.000,,t_A,out,TRUE,TRUE,N
245,1813-07-27 11:28:12.000,,S,out,TRUE,TRUE,N
246,1813-07-28 10:38:45.500,1813-07-28 10:58:45.500,S,in,TRUE,TRUE,N
246,1813-07-28 11:00:38.500,,t_A,in,TRUE,TRUE,N
246,1813-07-28 11:02:05.000,,t_A,out,TRUE,TRUE,N
246,1813-07-28 11:02:36.500,,S,out,TRUE,TRUE,N
247,1813-07-28 11:03:15.000,,S,in,TRUE,TRUE,N
247,1813-07-28 11:05:07.000,,t_A,in,TRUE,TRUE,N
247,1813-07-28 11:06:32.500,,t_A,out,TRUE,TRUE,N
247,1813-07-28 11:07:05.000,,S,out,TRUE,TRUE,N
248,1813-07-29 10:56:02.000,,S,in,TRUE,TRUE,N
