obs_id,recorded_time,modified_time,object,event,rising,sidereal,pole
67,1796-07-19 07:47:17.000,,S,v,TRUE,FALSE,
68,1796-07-19 07:48:13.000,,S,v,TRUE,FALSE,
68,1796-07-19 07:48:18.000,,S,h,TRUE,FALSE,
68,1796-07-19 07:49:33.000,,t_G,h,TRUE,FALSE,
68,1796-07-19 07:50:16.000,,t_G,v,TRUE,FALSE,
68,1796-07-19 07:51:08.000,,S,h,TRUE,FALSE,
68,1796-07-19 07:52:00.000,,S,v,TRUE,FALSE,
69,1796-07-20 07:23:21.000,,S,h,TRUE,FALSE,
69,1796-07-20 07:23:28.000,,S,v,TRUE,FALSE,
69,1796-07-20 07:25:10.000,,t_G,v,TRUE,FALSE,
69,1796-07-20 07:26:17.000,,S,h,TRUE,FALSE,
69,1796-07-20 07:27:03.000,,S,v,TRUE,FALSE,
70,1796-07-20 07:29:50.000,,S,v,TRUE,FALSE,
70,1796-07-20 07:29:54.000,,S,h,TRUE,FALSE,
70,1796-07-20 07:30:54.000,,t_G,h,TRUE,FALSE,
70,1796-07-20 07:31:32.000,,t_G,v,TRUE,FALSE,
70,1796-07-20 07:32:48.000,,S,h,TRUE,FALSE,
70,1796-07-20 07:33:27.000,,S,v,TRUE,FALSE,
71,1796-07-24 06:59:43.000,,S,h,TRUE,FALSE,
71,1796-07-24 07:00:10.000,,S,v,TRUE,FALSE,
71,1796-07-24 07:02:17.000,,t_H,h,TRUE,FALSE,
71,1796-07-24 07:02:32.000,,t_H,v,TRUE,FALSE,
71,1796-07-24 07:02:34.000,,S,h,TRUE,FALSE,
71,1796-07-24 07:03:51.000,,S,v,TRUE,FALSE,
72,1796-07-24 07:05:34.000,,S,v,TRUE,FALSE,
72,1796-07-24 07:06:27.000,,S,h,TRUE,FALSE,
72,1796-07-24 07:07:50.500,,t_H,v,TRUE,FALSE,
72,1796-07-24 07:08:03.000,1796-07-24 07:09:03.000,t_H,h,TRUE,FALSE,
72,1796-07-24 07:08:09.000,1796-07-24 07:09:09.000,S,v,TRUE,FALSE,
73,1796-07-24 07:10:20.000,,S,v,TRUE,FALSE,
73,1796-07-24 07:10:45.000,,S,h,TRUE,FALSE,
73,1796-07-24 07:12:37.000,,t_H,v,TRUE,FALSE,
73,1796-07-24 07:13:19.000,,t_H,h,TRUE,FALSE,
73,1796-07-24 07:13:37.000,,S,h,TRUE,FALSE,
73,1796-07-24 07:13:58.000,,S,v,TRUE,FALSE,
74,1796-07-24 07:16:51.000,,S,h,TRUE,FALSE,
74,1796-07-24 07:16:58.000,,S,v,TRUE,FALSE,
74,1796-07-24 07:19:17.000,,t_H,v,TRUE,FALSE,
74,1796-07-24 07:19:23.000,,t_H,h,TRUE,FALSE,
74,1796-07-24 07:19:40.000,,S,h,TRUE,FALSE,
74,1796-07-24 07:20:41.000,,S,v,TRUE,FALSE,
75,1796-07-25 07:41:12.000,,S,h,TRUE,FALSE,
75,1796-07-25 07:41:23.000,,S,v,TRUE,FALSE,
75,1796-07-25 07:43:31.000,,t_H,h,TRUE,FALSE,
75,1796-07-25 07:43:31.000,,t_H,v,TRUE,FALSE,
75,1796-07-25 07:44:00.000,,S,h,TRUE,FALSE,
75,1796-07-25 07:45:08.000,,S,v,TRUE,FALSE,
76,1796-07-25 07:51:12.000,,S,v,TRUE,FALSE,
76,1796-07-25 07:52:14.500,,S,h,TRUE,FALSE,
76,1796-07-25 07:53:19.000,,t_H,v,TRUE,FALSE,
76,1796-07-25 07:54:35.500,,t_H,h,TRUE,FALSE,
76,1796-07-25 07:54:52.000,,S,v,TRUE,FALSE,
76,1796-07-25 07:55:03.500,,S,h,TRUE,FALSE,
77,1796-07-26 07:34:46.000,,S,v,TRUE,FALSE,
77,1796-07-26 07:34:55.000,,S,h,TRUE,FALSE,
77,1796-07-26 07:36:38.500,,t_H,v,TRUE,FALSE,
77,1796-07-26 07:37:04.500,,t_H,h,TRUE,FALSE,
77,1796-07-26 07:37:46.000,,S,h,TRUE,FALSE,
77,1796-07-26 07:38:22.000,,S,v,TRUE,FALSE,
78,1796-07-26 07:39:51.500,,S,h,TRUE,FALSE,
78,1796-07-26 07:40:00.000,,S,v,TRUE,FALSE,
78,1796-07-26 07:41:55.000,,t_H,v,TRUE,FALSE,
78,1796-07-26 07:41:59.000,,t_H,h,TRUE,FALSE,
78,1796-07-26 07:43:39.000,,S,v,TRUE,FALSE,
79,1796-07-28 07:48:34.000,,S,v,TRUE,FALSE,
